kind,width,test_mean,test_std,valid_mean
morgan,64,0.7324,0.0025,0.7469
morgan,128,0.7589,0.0048,0.7987
morgan,256,0.7755,0.0093,0.7982
morgan,512,0.7978,0.0043,0.8228
morgan,1024,0.8039,0.0034,0.8394
morgan,2048,0.8036,0.0065,0.8395
morgan,4096,0.7974,0.0020,0.8332
embed_pca,8,0.7583,0.0046,0.7314
embed_pca,16,0.7853,0.0028,0.7700
embed_pca,32,0.7862,0.0069,0.7673
embed_pca,64,0.7643,0.0019,0.7671
embed_pca,96,0.7656,0.0047,0.7740
embed_pca,128,0.7588,0.0051,0.7710
embed_raw,8,0.7084,0.0045,0.7057
embed_raw,16,0.7553,0.0035,0.7791
embed_raw,32,0.7913,0.0045,0.7754
embed_raw,64,0.7821,0.0031,0.7802
embed_raw,96,0.7795,0.0038,0.7759
embed_raw,128,0.7880,0.0031,0.7819
