smiles,antibiotic
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,1
CCCCCCc1ccc(cc1O)O,1
CC[C@@H](C)NCCCCOc1ccc(cc1C(C)(C)C)Cl,1
CC(C)(C)Cc1ccc(c(c1)CC(C)(C)C)OCCCC(=O)O,1
CC(C)(C)c1ccc(cc1)OC[C@@H](O)CN,1
CCOC(=O)c1c(C)cc(O)c(C=O)c1O,1
NNCCc1ccccc1,1
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
CCCCCCc1ccc(O)cc1O,1
ONC(=O)CCCCC(=O)N/N=C/c1cc(cc(c1O)I)I,1
CS(=O)(=O)c1ccc(C(O)C(CF)NC(=O)C(Cl)Cl)cc1,1
C=CCc1ccc(O)c(OC)c1,1
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,1
CC[Hg]Sc1ccccc1C(=O)[O-].[Na+],1
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,0
CC(=O)O[Hg]c1ccccc1,0
O=C([O-])CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1.[Na+],0
ONC(=O)CCCCCCC(=O)N/N=C/c1cc(cc(c1O)I)I,0
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.[Cl-],0
NC(Cc1cc(I)c(O)c(I)c1)C(=O)O.O.O,0
C[C@@](Cc1ccc(c(c1)O)O)(NN)C(=O)O,0
COc1cc(C)c(C=CC=CC=CC=CC(=O)O)c(C)c1C,0
CCOC(=O)c1c(C)c(Cl)c(O)c(Cl)c1O,0
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,0
CCCCCCCCCc1ccc(O)cc1,0
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0
C=CC(=O)NS(=O)(=O)c1ccccc1,0
O[C@@H](/C=N/NC(=O)c1ccccc1O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O,0
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1.Cl,0
OP(=O)(O)C(Sc1ccc(cc1)Cl)P(=O)(O)O,0
NS(=O)(=O)C#Cc1ccccc1,0
OC(=O)c1ccc(cc1O)O,0
NS(=O)(=O)c1ccc(cc1[N+](=O)[O-])Cl,0
NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],0
Cl.NC(N)=NC(=O)Cc1c(Cl)cccc1Cl,0
Oc1cccc(c1O)O,0
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,0
CNCCc1ccc(c(c1)O)O,0
N[C@@H](CSCc1cccc(c1)Br)C(=O)O,0
Nc1ccccc1O,0
N[C@@H]([C@H](O)c1ccc(c(c1)O)O)C(=O)O,0
OC[C@@H](O)[C@@H](O)[C@H](O)/C=N/NC(=O)c1ccccc1O,0
CCCCCCCCCCCCCCCC(=O)OC[C@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+](=O)[O-],0
CCCCC(CC)COC(=O)c1ccccc1O,0
ONC(=O)c1ccc(cc1)C#C,0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)/C=N/NC(=O)c1ccccc1O,0
Nc1ccc(cc1Cl)Cl,0
COc1ccc(c(c1)C(C)(C)C)O,0
OC(=O)c1ccc(c(c1)C(=O)O)O,0
ONC(=O)CCCCCCC(=O)N/N=C/c1cccc(c1)[B](O)O,0
CCN([NH2+][O-])c1ccc(c(c1)O)O,0
NNC(=O)c1cccc(c1)C(=O)NO,0
Nc1ccc(cc1)O,0
COC(=O)CNC(=O)c1ccc(cc1)F,0
CCCCCCCCCCCCCCCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+](=O)[O-],0
CC(=O)[C@@H](OC(=O)CS(=O)(=O)C)C(=O)NCc1ccccc1,0
CC(=O)NS(=O)(=O)c1ccc(cc1)N,0
OC[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)/C=N/NC(=O)c1ccccc1O,0
OC[C@@H](O)[C@H](O)[C@@H](O)/C=N/NC(=O)c1ccccc1O,0
CC(C)(C)Oc1ccc(cc1)O,0
OC(=O)c1cc(ccc1O)O,0
N[C@@H](CC(=O)c1cccc(c1N)O)C(=O)O,0
ONC(=O)c1ccc(cc1)C(=O)N/N=C/[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O,0
NCCc1ccc(cc1)S(=O)(=O)F,0
CS(=O)(=O)c1ccc(c(c1)C(=O)O)O,0
CC(=O)c1cc(c(cc1O)C)Cl,0
O[C@@H](C(=O)O)[C@@](O)(Cc1ccc(cc1)O)C(=O)O,0
NS(=O)(=O)c1ccc(c(c1)[N+](=O)[O-])O,0
Oc1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],0
COc1cc(ccc1O)CCN,0
CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,0
CC(N)(Cc1ccc(c(c1)O)O)C(=O)O,0
CN([NH2+][O-])c1ccc(c(c1)O)O,0
NCC[C@@H](O)c1ccc(cc1)Br,0
OC[C@@H](O)[C@@H](O)[C@H](O)/C=N/NC(=O)c1ccc(cc1)C(=O)NO,0
NCCc1ccc(cc1)[N+](=O)[O-],0
COc1cc(ccc1OS(=O)(=O)O)[C@@H](O)CO,0
NC(=O)c1cccc(c1)C(=O)N,0
CC(=O)CCc1ccc(OC(C)=O)cc1,0
CC(=O)c1ccc(c(c1)C(=O)N)O,0
COc1cc(ccc1O)[C@@H](O)CN,0
CNC(=O)Cc1ccccc1,0
CC(=O)c1ccccc1OC[C@@H](O)CN(CCO)CCO,0
O=C(CCC#C)NS(=O)(=O)c1ccccc1,0
O=C(O)c1cc(O)ccc1O,0
Nc1ccc(c(c1)C(=O)O)O,0
CNc1cccc(c1)CN,0
O[C@@H](Cc1ccc(c(c1)O)O)C(=O)O,0
CC(=O)NCC(=O)NS(=O)(=O)c1ccccc1,0
Nc1cc(ccc1CO)F,0
OCCNCCC(=O)c1ccccc1,0
CS(=O)(=O)c1cc(ccc1N)F,0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)/C=N/NC(=O)c1cccc(c1)C(=O)NO,0
ONC(=O)c1cccc(c1)C(=O)N/N=C/[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O,0
N[C@H](C(=O)O)c1cc(cc(c1)O)O,0
NNC(=O)CS(=O)(=O)c1ccc(cc1)Cl,0
COC(=O)CNC(=O)/C=C/c1ccc(cc1)OC,0
COc1cc(C(C)=O)cc(OC)c1O,0
COc1ccccc1NCC(=O)NN,0
CN(c1cc(ccc1C)C(=O)N)S(=O)(=O)C,0
CC(=O)Nc1cccc(c1)S(=O)(=O)N,0
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0
CS(=O)(=O)NCCc1ccccc1,0
N[C@H](CO)Cc1ccccc1,0
NS(=O)(=O)c1ccc(cc1)C(=O)O,0
COc1c(O)cccc1O,0
CC(C)NCC(O)c1cc(O)cc(O)c1,0
Cc1ccc(c(c1)S(=O)(=O)N)C,0
COc1ccc(cc1O)CCN,0
Oc1ccc(cc1O)C#N,0
S=C=NCc1ccccc1,0
C[C@](N)(Cc1ccc(c(c1)O)O)C(=O)O,0
CNC(=O)c1ccc(cc1)CO,0
NS(=O)(=O)Cc1ccccc1F,0
NS(=O)(=O)c1ccc(c(c1)S(=O)(=O)N)Cl,0
OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)/C=N/NC(=O)c1ccc(cc1)C(=O)NO,0
NNC(=O)c1ccc(cc1)C(=O)NO,0
NCc1ccc(cc1)C#N,0
COc1cc(ccc1O)[C@@H](O)C(=O)O,0
N[C@@H]([C@@H](OCc1ccccc1)C(=O)O)C(=O)O,0
NS(=O)(=O)c1ccc(c(c1)[N+](=O)[O-])F,0
CC(=O)N[C@@H](Cc1ccc(cc1)F)C(=O)O,0
COc1c(cc(cc1O)O)O,0
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,0
OC(=O)c1ccccc1C(=O)NC=O,0
Oc1ccc(cc1[N+](=O)[O-])[As](=O)(O)O,0
O=C(O)C=CC=Cc1ccccc1,0
CC(=O)Nc1ccc(OC(C)=O)cc1,0
OCCNc1ccc(cc1OCCO)[N+](=O)[O-],0
CN(c1ccc(cc1[N+](=O)[O-])N)S(=O)(=O)C,0
COC(=O)CCc1ccc(OC)cc1O,0
CCS(=O)(=O)c1ccccc1C(=O)N,0
OC(=O)CNS(=O)(=O)c1ccccc1,0
OC[C@@H](O)[C@H](O)[C@@H](O)/C=N/NC(=O)c1cccc(c1)C(=O)NO,0
NNC(=S)Nc1cccc(c1)F,0
CS(=O)(=O)c1ccccc1CC(=O)O,0
CNC(=O)c1ccc(cc1)N,0
COc1ccc(cc1OC)CCN,0
CC(C)c1ccc(cc1)C(C)(C)CO,0
NC(=N)SCc1ccc(cc1)[B](O)O,0
COc1ccc(C=CC(=O)O)cc1OC,0
